time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,187,75,20,1
2026-04-26 00:00:00+00:00,437,42,2,2
2026-04-27 00:00:00+00:00,565,63,6,2
2026-04-28 00:00:00+00:00,61,20,1,1
2026-04-29 00:00:00+00:00,283,50,12,1
2026-04-30 00:00:00+00:00,21,8,1,1
2026-05-01 00:00:00+00:00,378,44,1,1
2026-05-02 00:00:00+00:00,47,13,0,0
2026-05-03 00:00:00+00:00,59,22,0,0
2026-05-04 00:00:00+00:00,34,13,4,2
2026-05-05 00:00:00+00:00,12,9,1,1
2026-05-06 00:00:00+00:00,214,45,6,1
2026-05-07 00:00:00+00:00,27,11,0,0
2026-05-08 00:00:00+00:00,15,12,0,0
